button,buffer,press_number,segment_in_press,header,code
lock,--,1,1,100001,10001001 00111101 11110101 11101011 10101011 10111010 01111011 011-----
lock,--,1,2,100001,10001001 00111101 11110101 11101011 10101011 10111010 01111011 011-----
lock,--,1,3,100001,10001001 00111101 11110101 11101011 10101011 10111010 01111011 011-----
lock,--,1,4,100001,10001001 00111101 11110101 11101011 10101011 10111010 01111011 011-----
lock,--,2,1,100001,10001001 00111101 11110101 11101011 10101011 10111010 00110111 01------
lock,--,2,2,100001,10001001 00111101 11110101 11101011 10101011 10111010 00110111 01------
lock,--,2,3,100001,10001001 00111101 11110101 11101011 10101011 10111010 00110111 01------
lock,--,2,4,100001,10001001 00111101 11110101 11101011 10101011 10111010 00110111 01------
lock,--,3,1,100001,10000111 10101001 01101100 10011110 11111101 01011100 01001011 --------
lock,--,3,2,100001,10000111 10101001 01101100 10011110 11111101 01011100 01001011 --------
lock,--,3,3,100001,10000111 10101001 01101100 10011110 11111101 01011100 01001011 --------
lock,--,3,4,100001,10000111 10101001 01101100 10011110 11111101 01011100 01001011 --------
unlock,,1,1,100001,10001001 11011111 01111010 11111000 11110101 00111111 01100011 011-----
unlock,,1,2,100001,10001001 11011111 01111010 11111000 11110101 00111111 01100011 011-----
unlock,,1,3,100001,10001001 11011111 01111010 11111000 11110101 00111111 01100011 011-----
unlock,,1,4,100001,10001001 11011111 01111010 11111000 11110101 00111111 01100011 011-----
unlock,,2,1,100001,10000100 11011111 10111010 11010100 11111101 10010101 10111111 101-----
unlock,,2,2,100001,10000100 11011111 10111010 11010100 11111101 10010101 10111111 101-----
unlock,,2,3,100001,10000100 11011111 10111010 11010100 11111101 10010101 10111111 101-----
unlock,,2,4,100001,10000100 11011111 10111010 11010100 11111101 10010101 10111111 101-----
unlock,,3,1,100001,10001011 10010101 11101101 10010111 01001010 01010111 01111111 0-------
unlock,,3,2,100001,10001011 10010101 11101101 10010111 01001010 01010111 01111111 0-------
unlock,,3,3,100001,10001011 10010101 11101101 10010111 01001010 01010111 01111111 0-------
unlock,,3,4,100001,10001011 10010101 11101101 10010111 01001010 01010111 01111111 0-------
panic,-,1,1,100001,10000100 11011111 10111010 11010111 11111111 01100111 10010001 1111----
panic,-,1,2,100001,10000100 11011111 10111010 11010111 11111111 01100111 10010001 1111----
panic,-,1,3,100001,10000100 11011111 10111010 11010111 11111111 01100111 10010001 1111----
panic,-,1,4,100001,10000100 11011111 10111010 11010111 11111111 01100111 10010001 1111----
panic,-,2,1,100001,10000100 11011111 10111010 11011111 11110111 01100110 00110101 110-----
panic,-,2,2,100001,10000100 11011111 10111010 11011111 11110111 01100110 00110101 110-----
panic,-,2,3,100001,10000100 11011111 10111010 11011111 11110111 01100110 00110101 110-----
panic,-,2,4,100001,10000100 11011111 10111010 11011111 11110111 01100110 00110101 110-----
panic,-,3,1,100001,10001011 10010101 11101101 10010010 10001100 10100111 0111011- --------
panic,-,3,2,100001,10001011 10010101 11101101 10010010 10001100 10100111 0111011- --------
panic,-,3,3,100001,10001011 10010101 11101101 10010010 10001100 10100111 0111011- --------
panic,-,3,4,100001,10001011 10010101 11101101 10010010 10001100 10100111 0111011- --------
trunk,-,1,1,100001,10001011 10010101 11101101 10011101 01000110 01011101 11111001 1-------
trunk,-,1,2,100001,10001011 10010101 11101101 10011101 01000110 01011101 11111001 1-------
trunk,-,1,3,100001,10001011 10010101 11101101 10011101 01000110 01011101 11111001 1-------
trunk,-,1,4,100001,10001011 10010101 11101101 10011101 01000110 01011101 11111001 1-------
trunk,-,2,1,100001,10000101 01011101 01101101 11000110 11111101 00011110 11100111 0-------
trunk,-,2,2,100001,10000101 01011101 01101101 11000110 11111101 00011110 11100111 0-------
trunk,-,2,3,100001,10000101 01011101 01101101 11000110 11111101 00011110 11100111 0-------
trunk,-,2,4,100001,10000101 01011101 01101101 11000110 11111101 00011110 11100111 0-------
trunk,-,3,1,100001,10000101 01011101 01101101 11011011 00111101 00001101 10101111 1-------
trunk,-,3,2,100001,10000101 01011101 01101101 11011011 00111101 00001101 10101111 1-------
trunk,-,3,3,100001,10000101 01011101 01101101 11011011 00111101 00001101 10101111 1-------
trunk,-,3,4,100001,10000101 01011101 01101101 11011011 00111101 00001101 10101111 1-------
